x,y
-5.460240000000000000e+06,5.457960000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-9.284880000000000000e+06,9.268920000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-1.122024000000000000e+07,1.118580000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-1.122024000000000000e+07,1.118580000000000000e+07
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-1.122024000000000000e+07,1.118580000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-1.122024000000000000e+07,1.118580000000000000e+07
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-1.698024000000000000e+07,1.692996000000000000e+07
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.457960000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-5.460240000000000000e+06,5.459880000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
-6.750480000000000000e+06,6.659880000000000000e+06
-9.284880000000000000e+06,9.268920000000000000e+06
-5.506320000000000000e+06,5.506440000000000000e+06
